model_group,model,feature_regime,forecast_window,MAE,RMSE,R2,validation_RMSE,n_train,n_val,n_test,selected_hyperparams,seed,runtime_seconds,status,train_RMSE
Historical,Crop-region train mean,past_only_yield_history,May-Jun,0.6832091978473597,0.9614447123179034,0.4230688859871726,,701,116,149,"{""rule"": ""train-only mean""}",42,0.0,ok,
Historical,Crop-region train trend,past_only_yield_history,May-Jun,0.6132966830563497,0.8233386254349985,0.5769104383417026,,701,116,149,"{""rule"": ""train-only crop-region/crop/global trend hierarchy""}",42,0.0,ok,
Historical,Previous-year yield,past_only_yield_history,May-Jun,0.5617534684052318,0.7843785098292825,0.6160039972090685,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,3-year rolling mean,past_only_yield_history,May-Jun,0.6062282715919812,0.7787277884848315,0.6215167400633967,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,Crop-region train mean,past_only_yield_history,May-Jul,0.6832091978473597,0.9614447123179034,0.4230688859871726,,701,116,149,"{""rule"": ""train-only mean""}",42,0.0,ok,
Historical,Crop-region train trend,past_only_yield_history,May-Jul,0.6132966830563497,0.8233386254349985,0.5769104383417026,,701,116,149,"{""rule"": ""train-only crop-region/crop/global trend hierarchy""}",42,0.0,ok,
Historical,Previous-year yield,past_only_yield_history,May-Jul,0.5617534684052318,0.7843785098292825,0.6160039972090685,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,3-year rolling mean,past_only_yield_history,May-Jul,0.6062282715919812,0.7787277884848315,0.6215167400633967,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,Crop-region train mean,past_only_yield_history,May-Aug,0.6832091978473597,0.9614447123179034,0.4230688859871726,,701,116,149,"{""rule"": ""train-only mean""}",42,0.0,ok,
Historical,Crop-region train trend,past_only_yield_history,May-Aug,0.6132966830563497,0.8233386254349985,0.5769104383417026,,701,116,149,"{""rule"": ""train-only crop-region/crop/global trend hierarchy""}",42,0.0,ok,
Historical,Previous-year yield,past_only_yield_history,May-Aug,0.5617534684052318,0.7843785098292825,0.6160039972090685,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,3-year rolling mean,past_only_yield_history,May-Aug,0.6062282715919812,0.7787277884848315,0.6215167400633967,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,Crop-region train mean,past_only_yield_history,May-Sep,0.6832091978473597,0.9614447123179034,0.4230688859871726,,701,116,149,"{""rule"": ""train-only mean""}",42,0.0,ok,
Historical,Crop-region train trend,past_only_yield_history,May-Sep,0.6132966830563497,0.8233386254349985,0.5769104383417026,,701,116,149,"{""rule"": ""train-only crop-region/crop/global trend hierarchy""}",42,0.0,ok,
Historical,Previous-year yield,past_only_yield_history,May-Sep,0.5617534684052318,0.7843785098292825,0.6160039972090685,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,3-year rolling mean,past_only_yield_history,May-Sep,0.6062282715919812,0.7787277884848315,0.6215167400633967,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,Crop-region train mean,past_only_yield_history,May-Oct,0.6832091978473597,0.9614447123179034,0.4230688859871726,,701,116,149,"{""rule"": ""train-only mean""}",42,0.0,ok,
Historical,Crop-region train trend,past_only_yield_history,May-Oct,0.6132966830563497,0.8233386254349985,0.5769104383417026,,701,116,149,"{""rule"": ""train-only crop-region/crop/global trend hierarchy""}",42,0.0,ok,
Historical,Previous-year yield,past_only_yield_history,May-Oct,0.5617534684052318,0.7843785098292825,0.6160039972090685,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Historical,3-year rolling mean,past_only_yield_history,May-Oct,0.6062282715919812,0.7787277884848315,0.6215167400633967,,701,116,149,"{""rule"": ""past-only chronological""}",42,0.0,ok,
Classical ML,Ridge,no_yield_history_weather_soil,May-Jun,0.6872254953408203,1.0092069921206157,0.3643239746862892,0.7828375084622292,701,116,149,"{""alpha"": 3.0}",42,0.03405690000363393,ok,
Classical ML,ElasticNet,no_yield_history_weather_soil,May-Jun,0.6694966246758866,0.9920565147996648,0.38574576767979385,0.7629377496854417,701,116,149,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",42,0.04010539999580942,ok,
Classical ML,RandomForest,no_yield_history_weather_soil,May-Jun,0.6966228071195025,0.963977599509208,0.42002507851713466,0.6816951524097402,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.8798792000015965,ok,
Classical ML,SVR-RBF,no_yield_history_weather_soil,May-Jun,0.6930050158634522,0.9524667728092323,0.4337933069801275,0.7389287500962815,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.08431230000132928,ok,
Strong tabular ML,HistGradientBoosting,no_yield_history_weather_soil,May-Jun,0.6481313533406384,0.9165125605168924,0.4757334211250396,0.6637524736236222,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,1.8125091000038083,ok,
Strong tabular ML,XGBoost,no_yield_history_weather_soil,May-Jun,0.6514726418678528,0.9142891311832305,0.4782740426115668,0.6773490441334958,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""reg_lambda"": 10.0, ""subsample"": 0.8}",42,0.4578467000028468,ok,
Strong tabular ML,LightGBM,no_yield_history_weather_soil,May-Jun,0.6551765004240262,0.9176889115716315,0.47438675692625765,0.6628882436765811,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.1380526000066311,ok,
Strong tabular ML,CatBoost,no_yield_history_weather_soil,May-Jun,0.6655528429113076,0.9212841975187335,0.47026023510008064,0.6478519935214735,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.40227800000138814,ok,
Interpretable ML,GAM,no_yield_history_weather_soil,May-Jun,1.0289376128883199,1.3681747390757693,-0.16831100071984118,0.9384608911889296,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,6.257979200003319,ok,
Classical ML,Ridge,operational_with_yield_history,May-Jun,0.5679710499894177,0.7421023557993057,0.6562814657379061,0.6237155847960795,701,116,149,"{""alpha"": 3.0}",42,0.05292110000300454,ok,
Classical ML,ElasticNet,operational_with_yield_history,May-Jun,0.532875253579602,0.7190433408179682,0.6773100291976966,0.5452341548414803,701,116,149,"{""alpha"": 0.03, ""l1_ratio"": 0.4}",42,0.059176700000534765,ok,
Classical ML,RandomForest,operational_with_yield_history,May-Jun,0.620819356163311,0.8480612282317157,0.5511205250617724,0.5926508238931028,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,1.2696432000011555,ok,
Classical ML,SVR-RBF,operational_with_yield_history,May-Jun,0.6581756167186185,0.936329443752858,0.45281687999223597,0.6645611638265523,701,116,149,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.11392139999952633,ok,
Strong tabular ML,HistGradientBoosting,operational_with_yield_history,May-Jun,0.5775354733945873,0.8139834233807295,0.5864705422521641,0.5940573546551088,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.4482969000018784,ok,
Strong tabular ML,XGBoost,operational_with_yield_history,May-Jun,0.5971686333816527,0.8083566729130938,0.5921679183371984,0.6167405916269685,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.8}",42,0.4875173999971594,ok,
Strong tabular ML,LightGBM,operational_with_yield_history,May-Jun,0.6387814084277694,0.8557127193430998,0.5429841046273111,0.6041613512097875,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.20019510000565788,ok,
Strong tabular ML,CatBoost,operational_with_yield_history,May-Jun,0.6126713375845947,0.8359130674286933,0.5638884793953063,0.6286534595011726,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.36603050000121584,ok,
Interpretable ML,GAM,operational_with_yield_history,May-Jun,0.9635668140928475,1.4457192621622865,-0.30449754303792953,0.9502280556152983,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,5.245135199998913,ok,
Classical ML,Ridge,no_yield_history_weather_soil,May-Jul,0.671125239510939,0.9977305907028743,0.3786992088200979,0.7486296406830092,701,116,149,"{""alpha"": 3.0}",42,0.04223630000342382,ok,
Classical ML,ElasticNet,no_yield_history_weather_soil,May-Jul,0.6522640486922711,0.9802977957028974,0.40022082458908337,0.7338474294302392,701,116,149,"{""alpha"": 0.03, ""l1_ratio"": 0.4}",42,0.04766889999882551,ok,
Classical ML,RandomForest,no_yield_history_weather_soil,May-Jul,0.7185742731863518,1.0596040560207518,0.2992508902015807,0.6667250268338547,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,1.1510887000040384,ok,
Classical ML,SVR-RBF,no_yield_history_weather_soil,May-Jul,0.6730207341340062,0.9777764716709108,0.4033021187005603,0.7472157063410689,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.11368599999696016,ok,
Strong tabular ML,HistGradientBoosting,no_yield_history_weather_soil,May-Jul,0.677735412847179,1.0435588145514136,0.32031264216907607,0.6461942744458578,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.4534622999999556,ok,
Strong tabular ML,XGBoost,no_yield_history_weather_soil,May-Jul,0.6752844019046312,1.0225799745273698,0.34736569576675,0.6519821039382007,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.8}",42,0.33502779999980703,ok,
Strong tabular ML,LightGBM,no_yield_history_weather_soil,May-Jul,0.6907644915975582,1.057250989440558,0.30235974663254017,0.6496915758284716,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.14410579999821493,ok,
Strong tabular ML,CatBoost,no_yield_history_weather_soil,May-Jul,0.659129844931013,0.9510172780774107,0.43551533896655537,0.6515110376897262,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.26007709999976214,ok,
Interpretable ML,GAM,no_yield_history_weather_soil,May-Jul,1.1231287151672797,1.4601665318857036,-0.3306998574363773,0.9094482773535477,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,5.008167799998773,ok,
Classical ML,Ridge,operational_with_yield_history,May-Jul,0.5273923980870466,0.7164947091338811,0.6795935086960747,0.5842699358194511,701,116,149,"{""alpha"": 3.0}",42,0.04972080000152346,ok,
Classical ML,ElasticNet,operational_with_yield_history,May-Jul,0.5139088597772685,0.7168677790513697,0.6792597584486779,0.5155798978984527,701,116,149,"{""alpha"": 0.03, ""l1_ratio"": 0.4}",42,0.05913249999866821,ok,
Classical ML,RandomForest,operational_with_yield_history,May-Jul,0.6028759715551402,0.8602172819497271,0.5381598799546474,0.583448256800645,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.976283500000136,ok,
Classical ML,SVR-RBF,operational_with_yield_history,May-Jul,0.6398820473089414,0.9650248831013911,0.4187642024056091,0.7189454832598485,701,116,149,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.0882872000001953,ok,
Strong tabular ML,HistGradientBoosting,operational_with_yield_history,May-Jul,0.5655214691259,0.8273442991564912,0.5727836275198483,0.6024375767198021,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.505503399996087,ok,
Strong tabular ML,XGBoost,operational_with_yield_history,May-Jul,0.5647459655104059,0.8113203239493385,0.5891719942140414,0.6057518546890732,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.8}",42,0.4738126999945962,ok,
Strong tabular ML,LightGBM,operational_with_yield_history,May-Jul,0.5953512419391929,0.854603380234204,0.5441682800371971,0.5967552086327683,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.21667660000093747,ok,
Strong tabular ML,CatBoost,operational_with_yield_history,May-Jul,0.6031280276580927,0.8762713852955833,0.5207605173751778,0.6044481638381003,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.39454639999894425,ok,
Interpretable ML,GAM,operational_with_yield_history,May-Jul,1.0351817625960555,1.4999765390928192,-0.40424945299279136,0.9322676171153921,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,5.982846699997026,ok,
Classical ML,Ridge,no_yield_history_weather_soil,May-Aug,0.6679576733553314,1.0140790361953875,0.35817158519560444,0.6790073697688574,701,116,149,"{""alpha"": 3.0}",42,0.03376199999911478,ok,
Classical ML,ElasticNet,no_yield_history_weather_soil,May-Aug,0.6635643080976686,1.0066655694109923,0.3675215097133836,0.6749671543721606,701,116,149,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",42,0.040547199998400174,ok,
Classical ML,RandomForest,no_yield_history_weather_soil,May-Aug,0.666134116867673,1.0187006983861284,0.3523079917370858,0.613511254654203,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.9493862999952398,ok,
Classical ML,SVR-RBF,no_yield_history_weather_soil,May-Aug,0.7129470676892609,1.0385668632318927,0.32679977233567814,0.6665862246087972,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.08465900000010151,ok,
Strong tabular ML,HistGradientBoosting,no_yield_history_weather_soil,May-Aug,0.6090192821584604,0.9675077089448996,0.4157695362467013,0.570297499831431,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.33542030000535306,ok,
Strong tabular ML,XGBoost,no_yield_history_weather_soil,May-Aug,0.6369852986503132,0.972577894842208,0.4096302185666091,0.6094064254839954,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""reg_lambda"": 10.0, ""subsample"": 0.8}",42,0.3442938000007416,ok,
Strong tabular ML,LightGBM,no_yield_history_weather_soil,May-Aug,0.6213753218657934,0.979105391123184,0.40167904366780816,0.5957951310289159,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.13702899999771034,ok,
Strong tabular ML,CatBoost,no_yield_history_weather_soil,May-Aug,0.6521329716699621,0.9839647637366962,0.3957252832728052,0.6065093067836229,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.25447970000095665,ok,
