model_group,model,feature_regime,forecast_window,MAE,RMSE,R2,validation_RMSE,n_train,n_val,n_test,selected_hyperparams,seed,runtime_seconds,status,train_RMSE
Interpretable ML,GAM,no_yield_history_weather_soil,May-Aug,0.9569654727452283,1.3354817172743458,-0.11314367886308152,0.9251959952633688,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,5.029612899998028,ok,
Classical ML,Ridge,operational_with_yield_history,May-Aug,0.531452476550643,0.7451176062324539,0.6534826524624086,0.50024888554138,701,116,149,"{""alpha"": 3.0}",42,0.03282300000137184,ok,
Classical ML,ElasticNet,operational_with_yield_history,May-Aug,0.5059552292746273,0.7237965480368429,0.6730296699655982,0.4568688005212282,701,116,149,"{""alpha"": 0.03, ""l1_ratio"": 0.4}",42,0.035862700002326164,ok,
Classical ML,RandomForest,operational_with_yield_history,May-Aug,0.5598089235707866,0.842172639266225,0.5573325525801933,0.5442908227158719,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.9600719999943976,ok,
Classical ML,SVR-RBF,operational_with_yield_history,May-Aug,0.6665702021630625,0.9685876100176019,0.4144646097845227,0.604727263889558,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.08901049999985844,ok,
Strong tabular ML,HistGradientBoosting,operational_with_yield_history,May-Aug,0.580106984774006,0.8570360935470627,0.5415694459407461,0.5522414966492103,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.33862580000277376,ok,
Strong tabular ML,XGBoost,operational_with_yield_history,May-Aug,0.581774232281554,0.8563760608619189,0.5422752800090445,0.564511381316757,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.8}",42,0.38291400000161957,ok,
Strong tabular ML,LightGBM,operational_with_yield_history,May-Aug,0.5802864847448819,0.8860302636666576,0.5100266683266099,0.5573392634884083,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.15633160000288626,ok,
Strong tabular ML,CatBoost,operational_with_yield_history,May-Aug,0.5778872528304381,0.8532159330446875,0.5456471626832016,0.5729676869741209,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.30963270000211196,ok,
Interpretable ML,GAM,operational_with_yield_history,May-Aug,0.8634262192810788,1.3576685742606047,-0.15043705526546614,0.9025587857582217,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,4.153464000002714,ok,
Classical ML,Ridge,no_yield_history_weather_soil,May-Sep,0.6178249772192046,0.9629258273195648,0.42128998076096813,0.6434220046136705,701,116,149,"{""alpha"": 3.0}",42,0.03450729999894975,ok,
Classical ML,ElasticNet,no_yield_history_weather_soil,May-Sep,0.6198571313827665,0.9657866546410765,0.4178462081596407,0.6432431101534122,701,116,149,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",42,0.04149479999614414,ok,
Classical ML,RandomForest,no_yield_history_weather_soil,May-Sep,0.7013758075711553,1.0386202829861302,0.32673051706312195,0.6195960614553201,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.9453847999975551,ok,
Classical ML,SVR-RBF,no_yield_history_weather_soil,May-Sep,0.6086788202449417,0.8805269505943125,0.5160944124450288,0.7156276562121008,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.07849939999869093,ok,
Strong tabular ML,HistGradientBoosting,no_yield_history_weather_soil,May-Sep,0.6109094902740785,0.9582751591417302,0.42686650360449174,0.5652810117690528,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.324345799999719,ok,
Strong tabular ML,XGBoost,no_yield_history_weather_soil,May-Sep,0.615155720993352,0.9208390575481971,0.47077202370086424,0.5830226176231802,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""reg_lambda"": 10.0, ""subsample"": 0.8}",42,0.354741399998602,ok,
Strong tabular ML,LightGBM,no_yield_history_weather_soil,May-Sep,0.6175314288361021,0.9422922810652664,0.4458254239516013,0.5706345885314824,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.14969250000285683,ok,
Strong tabular ML,CatBoost,no_yield_history_weather_soil,May-Sep,0.6435569517737566,0.9758235991202775,0.4056832584997221,0.5968908276829411,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.2542198999944958,ok,
Interpretable ML,GAM,no_yield_history_weather_soil,May-Sep,0.9095449604696413,1.2408989208920558,0.038945217109351726,0.9003557817050186,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,3.8097794000059366,ok,
Classical ML,Ridge,operational_with_yield_history,May-Sep,0.46910925898509986,0.7040848743456378,0.6905964019377662,0.44939866725213357,701,116,149,"{""alpha"": 3.0}",42,0.03556180000305176,ok,
Classical ML,ElasticNet,operational_with_yield_history,May-Sep,0.49837509417852,0.7280430902263393,0.6691817199393477,0.4338549702735074,701,116,149,"{""alpha"": 0.03, ""l1_ratio"": 0.4}",42,0.03899509999610018,ok,
Classical ML,RandomForest,operational_with_yield_history,May-Sep,0.5794220402727003,0.8696374067744078,0.5279893961804081,0.541231758532914,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.9656819000010728,ok,
Classical ML,SVR-RBF,operational_with_yield_history,May-Sep,0.5890051922231829,0.9082097847905789,0.4851891590756976,0.6842143006318098,701,116,149,"{""C"": 1.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.09093669999856502,ok,
Strong tabular ML,HistGradientBoosting,operational_with_yield_history,May-Sep,0.5857266617984193,0.8689649447013004,0.5287190945710945,0.5456314570793865,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.3568994000015664,ok,
Strong tabular ML,XGBoost,operational_with_yield_history,May-Sep,0.5756369292387031,0.8838432150704026,0.5124425518132474,0.5404376659714369,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.8}",42,0.38386800000444055,ok,
Strong tabular ML,LightGBM,operational_with_yield_history,May-Sep,0.5827677812378781,0.8851224952332787,0.5110301430261492,0.5529232640332394,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.14547619999939343,ok,
Strong tabular ML,CatBoost,operational_with_yield_history,May-Sep,0.5802811621584014,0.875625731651792,0.5214664829677668,0.5517562788082739,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.2775201000040397,ok,
Interpretable ML,GAM,operational_with_yield_history,May-Sep,0.8532623152294774,1.3250830743550748,-0.0958763231637445,0.901872331047317,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,4.053629199996067,ok,
Classical ML,Ridge,no_yield_history_weather_soil,May-Oct,0.5362645525274217,0.888667427208412,0.5071056332109976,0.6449829038721572,701,116,149,"{""alpha"": 1.0}",42,0.032095300004584715,ok,
Classical ML,ElasticNet,no_yield_history_weather_soil,May-Oct,0.5573384999906379,0.9063211401307578,0.48732805651181155,0.6478842707931259,701,116,149,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",42,0.03817010000057053,ok,
Classical ML,RandomForest,no_yield_history_weather_soil,May-Oct,0.6853376593719337,1.0124576780103034,0.36022231656678694,0.6897733347518704,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.9471062000011443,ok,
Classical ML,SVR-RBF,no_yield_history_weather_soil,May-Oct,0.548067694663697,0.8212375066026472,0.5790670896291725,0.6896710137529226,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.07988630000181729,ok,
Strong tabular ML,HistGradientBoosting,no_yield_history_weather_soil,May-Oct,0.6049087057106972,0.9252294161387025,0.46571350768005026,0.614244586361929,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.34670480000204407,ok,
Strong tabular ML,XGBoost,no_yield_history_weather_soil,May-Oct,0.5834752873382165,0.8879149052547473,0.5079400438710877,0.5902590348610465,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""reg_lambda"": 10.0, ""subsample"": 0.8}",42,0.3636102000018582,ok,
Strong tabular ML,LightGBM,no_yield_history_weather_soil,May-Oct,0.580911990647299,0.9070530222320391,0.4864997255778337,0.6042611931493184,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.13742359999741893,ok,
Strong tabular ML,CatBoost,no_yield_history_weather_soil,May-Oct,0.5906501610491672,0.9013021513009107,0.4929904427316467,0.578250794060455,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.27839680000033695,ok,
Interpretable ML,GAM,no_yield_history_weather_soil,May-Oct,0.675168279035616,1.045080300934413,0.31832925815931823,0.7855180261702183,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,3.8237085999935516,ok,
Classical ML,Ridge,operational_with_yield_history,May-Oct,0.42795163243839257,0.6603784081843912,0.7278169597525497,0.45066319527941934,701,116,149,"{""alpha"": 3.0}",42,0.03338159999839263,ok,
Classical ML,ElasticNet,operational_with_yield_history,May-Oct,0.4387896126430297,0.6710371641134681,0.7189597795555781,0.42820698034227,701,116,149,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",42,0.03844550000212621,ok,
Classical ML,RandomForest,operational_with_yield_history,May-Oct,0.5641385093092574,0.8357361721484937,0.5640730390339705,0.549840712000636,701,116,149,"{""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 400}",42,0.9611487000001944,ok,
Classical ML,SVR-RBF,operational_with_yield_history,May-Oct,0.5002972334382371,0.7570977740562228,0.6422503074007959,0.6424980842132016,701,116,149,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",42,0.09186420000332873,ok,
Strong tabular ML,HistGradientBoosting,operational_with_yield_history,May-Oct,0.5206698248622141,0.8124102767637965,0.5880674146520666,0.5171278290960446,701,116,149,"{""learning_rate"": 0.04, ""max_iter"": 250, ""max_leaf_nodes"": 15}",42,0.34445229999982985,ok,
Strong tabular ML,XGBoost,operational_with_yield_history,May-Oct,0.5151962077386268,0.7791072888279241,0.621147754833635,0.5143744891886404,701,116,149,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""subsample"": 0.8}",42,0.4031415999997989,ok,
Strong tabular ML,LightGBM,operational_with_yield_history,May-Oct,0.5323236766669578,0.8256752552826441,0.5745055796530487,0.5340028389007694,701,116,149,"{""learning_rate"": 0.04, ""n_estimators"": 300, ""num_leaves"": 15}",42,0.14729789999546483,ok,
Strong tabular ML,CatBoost,operational_with_yield_history,May-Oct,0.5053523333015074,0.7783840632805133,0.6218507862510787,0.5231865988091532,701,116,149,"{""depth"": 4, ""iterations"": 260, ""learning_rate"": 0.04}",42,0.297595399999409,ok,
Interpretable ML,GAM,operational_with_yield_history,May-Oct,0.646494882314049,1.1586508992666655,0.1621224836359808,0.790253920448608,701,116,149,"{""lam"": 0.6, ""max_iter"": 120, ""package"": ""pygam""}",42,4.081165700001293,ok,
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Jun,0.7760233879089355,1.1399998454043634,0.18888038396835327,0.9093066658484681,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 67, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,8.202244899999641,ok,0.6469672667080939
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Jun,0.5894936323165894,0.7840867991082152,0.6162895560264587,0.6283647563608561,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 145, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,14.13924489999772,ok,0.4478959551909426
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Jul,0.8041789531707764,1.1543347244382829,0.1683533787727356,0.9208851365294907,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 50, ""dropout"": 0.2, ""hidden_size"": 32, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,10.43059589999757,ok,0.7052399510367805
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Jul,0.5312294960021973,0.7175371884135617,0.67866051197052,0.5644694923219022,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,21.568030999995244,ok,0.44025300874174783
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Aug,0.6876606941223145,1.0423383200436394,0.3219015598297119,0.813554666165389,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,19.331414699998277,ok,0.5207814254325528
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Aug,0.6322602033615112,0.8456585456075784,0.5536603927612305,0.7336408313597134,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 66, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,13.411592500000552,ok,0.5614980144550549
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Sep,0.6306247711181641,0.9980184472620932,0.3783407211303711,0.7680232962934422,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,23.70534670000052,ok,0.49144191885403266
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Sep,0.48784172534942627,0.7208369681279558,0.6756981611251831,0.47947854451894606,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 152, ""dropout"": 0.2, ""hidden_size"": 32, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,35.63519809999707,ok,0.35882567840280283
Sequence,DailyWeather-GRU,daily_weather_sequence_no_yield_history,May-Oct,0.6737094521522522,1.020361960177626,0.3501938581466675,0.845986933142842,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,41.097269400001096,ok,0.5006034904554896
Sequence,DailyWeather-GRU,daily_weather_sequence_operational,May-Oct,0.5203911662101746,0.7184001236892118,0.6778870820999146,0.5929892585434491,701,116,149,"{""backend"": ""torch"", ""best_epoch"": 160, ""dropout"": 0.15, ""hidden_size"": 16, ""learning_rate"": 0.001, ""max_epochs"": 160, ""patience"": 16}",42,38.94736190000549,ok,0.40869525283224717
