forecast_window,target,task,model,metric,value,n_test
May-Jun,yield_t_ha,regression,HistoricalMeanImprovedFeatures,MAE,0.6832091978473597,149
May-Jun,yield_t_ha,regression,HistoricalMeanImprovedFeatures,RMSE,0.9614447123179034,149
May-Jun,yield_t_ha,regression,HistoricalMeanImprovedFeatures,R2,0.4230688859871726,149
May-Jun,yield_t_ha,regression,Ridge,MAE,0.5728494071955574,149
May-Jun,yield_t_ha,regression,Ridge,RMSE,0.7470145760044083,149
May-Jun,yield_t_ha,regression,Ridge,R2,0.6517160328869225,149
May-Jun,yield_t_ha,regression,ElasticNet,MAE,0.5448909745099275,149
May-Jun,yield_t_ha,regression,ElasticNet,RMSE,0.7209526037960298,149
May-Jun,yield_t_ha,regression,ElasticNet,R2,0.6755940881985308,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,MAE,0.5961958128557017,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,RMSE,0.8344969855995767,149
May-Jun,yield_t_ha,regression,HistGradientBoosting,R2,0.5653648207177036,149
May-Jun,yield_t_ha,regression,LightGBM,MAE,0.6312855837345428,149
May-Jun,yield_t_ha,regression,LightGBM,RMSE,0.8516769948172058,149
May-Jun,yield_t_ha,regression,LightGBM,R2,0.547284709132239,149
May-Jun,yield_t_ha,regression,CatBoost,MAE,0.6135516946928522,149
May-Jun,yield_t_ha,regression,CatBoost,RMSE,0.8279282952439041,149
May-Jun,yield_t_ha,regression,CatBoost,R2,0.5721802976975527,149
May-Jun,yield_shortfall,regression,HistoricalMeanImprovedFeatures,MAE,0.613296683056354,149
May-Jun,yield_shortfall,regression,HistoricalMeanImprovedFeatures,RMSE,0.8233386254350032,149
May-Jun,yield_shortfall,regression,HistoricalMeanImprovedFeatures,R2,-0.2258690386207014,149
May-Jun,yield_shortfall,regression,Ridge,MAE,0.5717969413417139,149
May-Jun,yield_shortfall,regression,Ridge,RMSE,0.7595708020883465,149
May-Jun,yield_shortfall,regression,Ridge,R2,-0.04333462501136087,149
May-Jun,yield_shortfall,regression,ElasticNet,MAE,0.5507216106100742,149
May-Jun,yield_shortfall,regression,ElasticNet,RMSE,0.7446872886901028,149
May-Jun,yield_shortfall,regression,ElasticNet,R2,-0.002847688642962254,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,MAE,0.6025161093156195,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,RMSE,0.7915956900014511,149
May-Jun,yield_shortfall,regression,HistGradientBoosting,R2,-0.13316705122077632,149
May-Jun,yield_shortfall,regression,LightGBM,MAE,0.6128847193205247,149
May-Jun,yield_shortfall,regression,LightGBM,RMSE,0.7905994739407951,149
May-Jun,yield_shortfall,regression,LightGBM,R2,-0.13031668483321512,149
May-Jun,yield_shortfall,regression,CatBoost,MAE,0.6240563860908872,149
May-Jun,yield_shortfall,regression,CatBoost,RMSE,0.8058234455633543,149
May-Jun,yield_shortfall,regression,CatBoost,R2,-0.1742671034809311,149
May-Jun,low_yield_risk,classification,LogisticRegression,ROC_AUC,0.47571341833636915,149
May-Jun,low_yield_risk,classification,LogisticRegression,PR_AUC,0.17331540305520607,149
May-Jun,low_yield_risk,classification,LogisticRegression,Brier,0.16484553709629954,149
May-Jun,low_yield_risk,classification,LogisticRegression,F1_at_0.5,0.0,149
May-Jun,low_yield_risk,classification,LogisticRegression,Recall_at_0.5,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,PRECISION,0.1875,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,RECALL,0.5555555555555556,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,F1,0.2803738317757009,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,BRIER,0.16484553709629954,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,ROC_AUC,0.47571341833636915,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,PR_AUC,0.17331540305520607,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,PRECISION,0.1875,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,RECALL,0.5555555555555556,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,F1,0.2803738317757009,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,BRIER,0.16484553709629954,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,ROC_AUC,0.47571341833636915,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,PR_AUC,0.17331540305520607,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,PRECISION,0.09090909090909091,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,RECALL,0.07407407407407407,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,F1,0.08163265306122448,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,BRIER,0.16484553709629954,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,ROC_AUC,0.47571341833636915,149
May-Jun,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,PR_AUC,0.17331540305520607,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,ROC_AUC,0.5425015179113539,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,PR_AUC,0.1952635979481617,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,Brier,0.15118105606464358,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,F1_at_0.5,0.0,149
May-Jun,low_yield_risk,classification,HistGradientBoostingClassifier,Recall_at_0.5,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,PRECISION,0.19696969696969696,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,RECALL,0.9629629629629629,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,F1,0.3270440251572327,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,BRIER,0.15118105606464358,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,ROC_AUC,0.5425015179113539,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,PR_AUC,0.1952635979481617,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,PRECISION,0.19696969696969696,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,RECALL,0.9629629629629629,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,F1,0.3270440251572327,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,BRIER,0.15118105606464358,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,ROC_AUC,0.5425015179113539,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,PR_AUC,0.1952635979481617,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,PRECISION,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,RECALL,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,F1,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,BRIER,0.15118105606464358,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,ROC_AUC,0.5425015179113539,149
May-Jun,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,PR_AUC,0.1952635979481617,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,ROC_AUC,0.4996964177292047,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,PR_AUC,0.18058831555192106,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,Brier,0.15218293738627361,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,F1_at_0.5,0.0,149
May-Jun,low_yield_risk,classification,LightGBMClassifier,Recall_at_0.5,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,PRECISION,0.18032786885245902,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,RECALL,0.8148148148148148,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,F1,0.2953020134228188,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,BRIER,0.15218293738627361,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,ROC_AUC,0.4996964177292047,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,PR_AUC,0.18058831555192106,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,PRECISION,0.18032786885245902,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,RECALL,0.8148148148148148,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,F1,0.2953020134228188,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,BRIER,0.15218293738627361,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,ROC_AUC,0.4996964177292047,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,PR_AUC,0.18058831555192106,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_precision_ge_0_3,PRECISION,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_precision_ge_0_3,RECALL,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_precision_ge_0_3,F1,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_precision_ge_0_3,BRIER,0.15218293738627361,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_precision_ge_0_3,ROC_AUC,0.4996964177292047,149
May-Jun,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_precision_ge_0_3,PR_AUC,0.18058831555192106,149
May-Jun,low_yield_risk,classification,CatBoostClassifier,ROC_AUC,0.5069823922282939,149
May-Jun,low_yield_risk,classification,CatBoostClassifier,PR_AUC,0.19463806847933757,149
May-Jun,low_yield_risk,classification,CatBoostClassifier,Brier,0.14898484646241214,149
May-Jun,low_yield_risk,classification,CatBoostClassifier,F1_at_0.5,0.0,149
May-Jun,low_yield_risk,classification,CatBoostClassifier,Recall_at_0.5,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_best_f1,PRECISION,0.20512820512820512,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_best_f1,RECALL,0.8888888888888888,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_best_f1,F1,0.3333333333333333,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_best_f1,BRIER,0.14898484646241214,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_best_f1,ROC_AUC,0.5069823922282939,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_best_f1,PR_AUC,0.19463806847933757,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_recall_ge_0_5,PRECISION,0.20512820512820512,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_recall_ge_0_5,RECALL,0.8888888888888888,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_recall_ge_0_5,F1,0.3333333333333333,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_recall_ge_0_5,BRIER,0.14898484646241214,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_recall_ge_0_5,ROC_AUC,0.5069823922282939,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_recall_ge_0_5,PR_AUC,0.19463806847933757,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_precision_ge_0_3,PRECISION,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_precision_ge_0_3,RECALL,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_precision_ge_0_3,F1,0.0,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_precision_ge_0_3,BRIER,0.14898484646241214,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_precision_ge_0_3,ROC_AUC,0.5069823922282939,149
May-Jun,low_yield_risk,classification_tuned_threshold,CatBoostClassifier_precision_ge_0_3,PR_AUC,0.19463806847933757,149
May-Jun,yield_t_ha,probabilistic,SklearnQuantileGBR,coverage,0.33557046979865773,149
May-Jun,yield_t_ha,probabilistic,SklearnQuantileGBR,width,0.916909927724739,149
May-Jun,yield_t_ha,probabilistic,SklearnQuantileGBR,pinball_p10,0.12884862829813404,149
May-Jun,yield_t_ha,probabilistic,SklearnQuantileGBR,pinball_p50,0.31536081717289444,149
May-Jun,yield_t_ha,probabilistic,SklearnQuantileGBR,pinball_p90,0.25098038793422006,149
May-Jun,yield_t_ha,probabilistic,LightGBMQuantile,coverage,0.21476510067114093,149
May-Jun,yield_t_ha,probabilistic,LightGBMQuantile,width,0.6933557221207106,149
May-Jun,yield_t_ha,probabilistic,LightGBMQuantile,pinball_p10,0.1395863053542122,149
May-Jun,yield_t_ha,probabilistic,LightGBMQuantile,pinball_p50,0.30909923336455425,149
May-Jun,yield_t_ha,probabilistic,LightGBMQuantile,pinball_p90,0.2799030757391607,149
May-Jun,yield_t_ha,probabilistic,CatBoostQuantile,coverage,0.33557046979865773,149
May-Jun,yield_t_ha,probabilistic,CatBoostQuantile,width,0.8180982534933866,149
May-Jun,yield_t_ha,probabilistic,CatBoostQuantile,pinball_p10,0.12236908285675725,149
May-Jun,yield_t_ha,probabilistic,CatBoostQuantile,pinball_p50,0.30459492215292316,149
May-Jun,yield_t_ha,probabilistic,CatBoostQuantile,pinball_p90,0.26754694855615324,149
May-Jun,yield_t_ha,uncertainty,ConformalBestPoint_ElasticNet,coverage,0.7986577181208053,149
May-Jun,yield_t_ha,uncertainty,ConformalBestPoint_ElasticNet,width,1.56468844398832,149
May-Jun,yield_t_ha,uncertainty,ConformalBestPoint_ElasticNet,qhat,0.7823442219941601,149
May-Jul,yield_t_ha,regression,HistoricalMeanImprovedFeatures,MAE,0.6832091978473597,149
May-Jul,yield_t_ha,regression,HistoricalMeanImprovedFeatures,RMSE,0.9614447123179034,149
May-Jul,yield_t_ha,regression,HistoricalMeanImprovedFeatures,R2,0.4230688859871726,149
May-Jul,yield_t_ha,regression,Ridge,MAE,0.5298376071396558,149
May-Jul,yield_t_ha,regression,Ridge,RMSE,0.7199137830502319,149
May-Jul,yield_t_ha,regression,Ridge,R2,0.6765282877508391,149
May-Jul,yield_t_ha,regression,ElasticNet,MAE,0.5146042620704728,149
May-Jul,yield_t_ha,regression,ElasticNet,RMSE,0.7016084241913878,149
May-Jul,yield_t_ha,regression,ElasticNet,R2,0.6927690805839501,149
May-Jul,yield_t_ha,regression,HistGradientBoosting,MAE,0.5618668240611031,149
May-Jul,yield_t_ha,regression,HistGradientBoosting,RMSE,0.8167922296675523,149
May-Jul,yield_t_ha,regression,HistGradientBoosting,R2,0.5836116924563082,149
May-Jul,yield_t_ha,regression,LightGBM,MAE,0.5818867149166235,149
May-Jul,yield_t_ha,regression,LightGBM,RMSE,0.8476734362982431,149
May-Jul,yield_t_ha,regression,LightGBM,R2,0.5515309483540515,149
May-Jul,yield_t_ha,regression,CatBoost,MAE,0.5823944622964139,149
May-Jul,yield_t_ha,regression,CatBoost,RMSE,0.8397563421530836,149
May-Jul,yield_t_ha,regression,CatBoost,R2,0.5598690435448704,149
May-Jul,yield_shortfall,regression,HistoricalMeanImprovedFeatures,MAE,0.613296683056354,149
May-Jul,yield_shortfall,regression,HistoricalMeanImprovedFeatures,RMSE,0.8233386254350032,149
May-Jul,yield_shortfall,regression,HistoricalMeanImprovedFeatures,R2,-0.2258690386207014,149
May-Jul,yield_shortfall,regression,Ridge,MAE,0.5502969377678077,149
May-Jul,yield_shortfall,regression,Ridge,RMSE,0.7456691858910698,149
May-Jul,yield_shortfall,regression,Ridge,R2,-0.005494014235948752,149
May-Jul,yield_shortfall,regression,ElasticNet,MAE,0.5534513592746941,149
May-Jul,yield_shortfall,regression,ElasticNet,RMSE,0.7523108461700275,149
May-Jul,yield_shortfall,regression,ElasticNet,R2,-0.02348561387183512,149
May-Jul,yield_shortfall,regression,HistGradientBoosting,MAE,0.5904527066808894,149
May-Jul,yield_shortfall,regression,HistGradientBoosting,RMSE,0.807636098994905,149
May-Jul,yield_shortfall,regression,HistGradientBoosting,R2,-0.1795559377030973,149
May-Jul,yield_shortfall,regression,LightGBM,MAE,0.5969631189383319,149
May-Jul,yield_shortfall,regression,LightGBM,RMSE,0.7957284291367629,149
May-Jul,yield_shortfall,regression,LightGBM,R2,-0.14502994671350788,149
May-Jul,yield_shortfall,regression,CatBoost,MAE,0.5986737255012148,149
May-Jul,yield_shortfall,regression,CatBoost,RMSE,0.8016828664657969,149
May-Jul,yield_shortfall,regression,CatBoost,R2,-0.16223058551005165,149
May-Jul,low_yield_risk,classification,LogisticRegression,ROC_AUC,0.5686095931997571,149
May-Jul,low_yield_risk,classification,LogisticRegression,PR_AUC,0.21045639044591874,149
May-Jul,low_yield_risk,classification,LogisticRegression,Brier,0.14993270164420858,149
May-Jul,low_yield_risk,classification,LogisticRegression,F1_at_0.5,0.0,149
May-Jul,low_yield_risk,classification,LogisticRegression,Recall_at_0.5,0.0,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,PRECISION,0.22857142857142856,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,RECALL,0.5925925925925926,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,F1,0.32989690721649484,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,BRIER,0.14993270164420858,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,ROC_AUC,0.5686095931997571,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_best_f1,PR_AUC,0.21045639044591874,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,PRECISION,0.22857142857142856,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,RECALL,0.5925925925925926,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,F1,0.32989690721649484,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,BRIER,0.14993270164420858,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,ROC_AUC,0.5686095931997571,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_recall_ge_0_5,PR_AUC,0.21045639044591874,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,PRECISION,0.21333333333333335,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,RECALL,0.5925925925925926,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,F1,0.3137254901960784,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,BRIER,0.14993270164420858,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,ROC_AUC,0.5686095931997571,149
May-Jul,low_yield_risk,classification_tuned_threshold,LogisticRegression_precision_ge_0_3,PR_AUC,0.21045639044591874,149
May-Jul,low_yield_risk,classification,HistGradientBoostingClassifier,ROC_AUC,0.5866727383120826,149
May-Jul,low_yield_risk,classification,HistGradientBoostingClassifier,PR_AUC,0.20518046949037305,149
May-Jul,low_yield_risk,classification,HistGradientBoostingClassifier,Brier,0.1486838629287766,149
May-Jul,low_yield_risk,classification,HistGradientBoostingClassifier,F1_at_0.5,0.0,149
May-Jul,low_yield_risk,classification,HistGradientBoostingClassifier,Recall_at_0.5,0.0,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,PRECISION,0.21649484536082475,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,RECALL,0.7777777777777778,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,F1,0.3387096774193548,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,BRIER,0.1486838629287766,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,ROC_AUC,0.5866727383120826,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_best_f1,PR_AUC,0.20518046949037305,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,PRECISION,0.21649484536082475,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,RECALL,0.7777777777777778,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,F1,0.3387096774193548,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,BRIER,0.1486838629287766,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,ROC_AUC,0.5866727383120826,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_recall_ge_0_5,PR_AUC,0.20518046949037305,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,PRECISION,0.23076923076923078,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,RECALL,0.2222222222222222,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,F1,0.22641509433962265,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,BRIER,0.1486838629287766,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,ROC_AUC,0.5866727383120826,149
May-Jul,low_yield_risk,classification_tuned_threshold,HistGradientBoostingClassifier_precision_ge_0_3,PR_AUC,0.20518046949037305,149
May-Jul,low_yield_risk,classification,LightGBMClassifier,ROC_AUC,0.6303885853066181,149
May-Jul,low_yield_risk,classification,LightGBMClassifier,PR_AUC,0.2495824112206918,149
May-Jul,low_yield_risk,classification,LightGBMClassifier,Brier,0.14375095222969658,149
May-Jul,low_yield_risk,classification,LightGBMClassifier,F1_at_0.5,0.0,149
May-Jul,low_yield_risk,classification,LightGBMClassifier,Recall_at_0.5,0.0,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,PRECISION,0.2714285714285714,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,RECALL,0.7037037037037037,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,F1,0.3917525773195876,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,BRIER,0.14375095222969658,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,ROC_AUC,0.6303885853066181,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_best_f1,PR_AUC,0.2495824112206918,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,PRECISION,0.2714285714285714,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,RECALL,0.7037037037037037,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,F1,0.3917525773195876,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,BRIER,0.14375095222969658,149
May-Jul,low_yield_risk,classification_tuned_threshold,LightGBMClassifier_recall_ge_0_5,ROC_AUC,0.6303885853066181,149
