forecast_window,experiment,model,metric,value,alpha,n_train,n_val,n_test
May-Jun,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Jun,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
May-Jun,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Jun,direct_paper_safe,Ridge,MAE,0.6876323092719085,-1.0,701,116,149
May-Jun,direct_paper_safe,Ridge,RMSE,1.0095490850710667,-1.0,701,116,149
May-Jun,direct_paper_safe,Ridge,R2,0.3638929488507431,-1.0,701,116,149
May-Jun,residual_paper_safe,Ridge,MAE,0.6833004914574627,0.2,701,116,149
May-Jun,residual_paper_safe,Ridge,RMSE,1.007067281492929,0.2,701,116,149
May-Jun,residual_paper_safe,Ridge,R2,0.36701662516527533,0.2,701,116,149
May-Jun,direct_paper_safe,ElasticNet,MAE,0.6622941702997313,-1.0,701,116,149
May-Jun,direct_paper_safe,ElasticNet,RMSE,0.9850193548089256,-1.0,701,116,149
May-Jun,direct_paper_safe,ElasticNet,R2,0.3944292933211643,-1.0,701,116,149
May-Jun,residual_paper_safe,ElasticNet,MAE,0.6757800882117427,0.4,701,116,149
May-Jun,residual_paper_safe,ElasticNet,RMSE,1.0009944538156619,0.4,701,116,149
May-Jun,residual_paper_safe,ElasticNet,R2,0.3746276536774116,0.4,701,116,149
May-Jun,direct_paper_safe,LightGBM,MAE,0.6658664227620039,-1.0,701,116,149
May-Jun,direct_paper_safe,LightGBM,RMSE,0.9324714718201944,-1.0,701,116,149
May-Jun,direct_paper_safe,LightGBM,R2,0.4573167237292506,-1.0,701,116,149
May-Jun,residual_paper_safe,LightGBM,MAE,0.6865658977008069,0.0,701,116,149
May-Jun,residual_paper_safe,LightGBM,RMSE,1.0091956976033263,0.0,701,116,149
May-Jun,residual_paper_safe,LightGBM,R2,0.36433820291447006,0.0,701,116,149
May-Jul,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Jul,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
May-Jul,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Jul,direct_paper_safe,Ridge,MAE,0.6712223218832866,-1.0,701,116,149
May-Jul,direct_paper_safe,Ridge,RMSE,0.9978205007421391,-1.0,701,116,149
May-Jul,direct_paper_safe,Ridge,R2,0.3785872272972234,-1.0,701,116,149
May-Jul,residual_paper_safe,Ridge,MAE,0.6808217243179502,0.35000000000000003,701,116,149
May-Jul,residual_paper_safe,Ridge,RMSE,1.0111444500921927,0.35000000000000003,701,116,149
May-Jul,residual_paper_safe,Ridge,R2,0.36188091238081044,0.35000000000000003,701,116,149
May-Jul,direct_paper_safe,ElasticNet,MAE,0.6484630504549556,-1.0,701,116,149
May-Jul,direct_paper_safe,ElasticNet,RMSE,0.9726454576105147,-1.0,701,116,149
May-Jul,direct_paper_safe,ElasticNet,R2,0.40954819243297,-1.0,701,116,149
May-Jul,residual_paper_safe,ElasticNet,MAE,0.6754434809656357,0.65,701,116,149
May-Jul,residual_paper_safe,ElasticNet,RMSE,1.0056713854392625,0.65,701,116,149
May-Jul,residual_paper_safe,ElasticNet,R2,0.3687701656619843,0.65,701,116,149
May-Jul,direct_paper_safe,LightGBM,MAE,0.6983606078598539,-1.0,701,116,149
May-Jul,direct_paper_safe,LightGBM,RMSE,1.0659893698803808,-1.0,701,116,149
May-Jul,direct_paper_safe,LightGBM,R2,0.29077982980845063,-1.0,701,116,149
May-Jul,residual_paper_safe,LightGBM,MAE,0.6782547131601612,0.6000000000000001,701,116,149
May-Jul,residual_paper_safe,LightGBM,RMSE,1.000695175971852,0.6000000000000001,701,116,149
May-Jul,residual_paper_safe,LightGBM,R2,0.3750015460762397,0.6000000000000001,701,116,149
May-Aug,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Aug,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
May-Aug,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Aug,direct_paper_safe,Ridge,MAE,0.6681648283483429,-1.0,701,116,149
May-Aug,direct_paper_safe,Ridge,RMSE,1.0142965975942315,-1.0,701,116,149
May-Aug,direct_paper_safe,Ridge,R2,0.35789615880044334,-1.0,701,116,149
May-Aug,residual_paper_safe,Ridge,MAE,0.6948720248834245,0.9500000000000001,701,116,149
May-Aug,residual_paper_safe,Ridge,RMSE,1.0437307125664537,0.9500000000000001,701,116,149
May-Aug,residual_paper_safe,Ridge,R2,0.3200887036063699,0.9500000000000001,701,116,149
May-Aug,direct_paper_safe,ElasticNet,MAE,0.6533467195203239,-1.0,701,116,149
May-Aug,direct_paper_safe,ElasticNet,RMSE,0.9962976647208996,-1.0,701,116,149
May-Aug,direct_paper_safe,ElasticNet,R2,0.38048253340186955,-1.0,701,116,149
May-Aug,residual_paper_safe,ElasticNet,MAE,0.7073211327399237,1.25,701,116,149
May-Aug,residual_paper_safe,ElasticNet,RMSE,1.0608918367604387,1.25,701,116,149
May-Aug,residual_paper_safe,ElasticNet,R2,0.2975465562653392,1.25,701,116,149
May-Aug,direct_paper_safe,LightGBM,MAE,0.6170386342115325,-1.0,701,116,149
May-Aug,direct_paper_safe,LightGBM,RMSE,0.9808289384834304,-1.0,701,116,149
May-Aug,direct_paper_safe,LightGBM,R2,0.39957070646510684,-1.0,701,116,149
May-Aug,residual_paper_safe,LightGBM,MAE,0.6962406354909545,1.0,701,116,149
May-Aug,residual_paper_safe,LightGBM,RMSE,1.0452148421157992,1.0,701,116,149
May-Aug,residual_paper_safe,LightGBM,R2,0.31815373348377685,1.0,701,116,149
May-Sep,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Sep,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
May-Sep,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Sep,direct_paper_safe,Ridge,MAE,0.6177581378419013,-1.0,701,116,149
May-Sep,direct_paper_safe,Ridge,RMSE,0.9628991209696421,-1.0,701,116,149
May-Sep,direct_paper_safe,Ridge,R2,0.4213220808823207,-1.0,701,116,149
May-Sep,residual_paper_safe,Ridge,MAE,0.6895155489214919,1.1,701,116,149
May-Sep,residual_paper_safe,Ridge,RMSE,1.0424137932912274,1.1,701,116,149
May-Sep,residual_paper_safe,Ridge,R2,0.32180336698881773,1.1,701,116,149
May-Sep,direct_paper_safe,ElasticNet,MAE,0.6203956247767289,-1.0,701,116,149
May-Sep,direct_paper_safe,ElasticNet,RMSE,0.9665400089559681,-1.0,701,116,149
May-Sep,direct_paper_safe,ElasticNet,R2,0.416937644928415,-1.0,701,116,149
May-Sep,residual_paper_safe,ElasticNet,MAE,0.7099305271675312,1.25,701,116,149
May-Sep,residual_paper_safe,ElasticNet,RMSE,1.0596034609221427,1.25,701,116,149
May-Sep,residual_paper_safe,ElasticNet,R2,0.2992516773157884,1.25,701,116,149
May-Sep,direct_paper_safe,LightGBM,MAE,0.6212249387185944,-1.0,701,116,149
May-Sep,direct_paper_safe,LightGBM,RMSE,0.960384483592066,-1.0,701,116,149
May-Sep,direct_paper_safe,LightGBM,R2,0.42434060066614954,-1.0,701,116,149
May-Sep,residual_paper_safe,LightGBM,MAE,0.6578918548211029,0.65,701,116,149
May-Sep,residual_paper_safe,LightGBM,RMSE,1.0118546459611846,0.65,701,116,149
May-Sep,residual_paper_safe,LightGBM,R2,0.3609842082691326,0.65,701,116,149
May-Oct,identity_time_only,Ridge,MAE,0.6865658977008069,-1.0,701,116,149
May-Oct,identity_time_only,Ridge,RMSE,1.0091956976033263,-1.0,701,116,149
May-Oct,identity_time_only,Ridge,R2,0.36433820291447006,-1.0,701,116,149
May-Oct,direct_paper_safe,Ridge,MAE,0.5390326659350942,-1.0,701,116,149
May-Oct,direct_paper_safe,Ridge,RMSE,0.8903777421776929,-1.0,701,116,149
May-Oct,direct_paper_safe,Ridge,R2,0.5052065744529366,-1.0,701,116,149
May-Oct,residual_paper_safe,Ridge,MAE,0.5832796078894973,1.1,701,116,149
May-Oct,residual_paper_safe,Ridge,RMSE,0.9481697003527271,1.1,701,116,149
May-Oct,residual_paper_safe,Ridge,R2,0.4388906876357028,1.1,701,116,149
May-Oct,direct_paper_safe,ElasticNet,MAE,0.5663289609592881,-1.0,701,116,149
May-Oct,direct_paper_safe,ElasticNet,RMSE,0.9143263220602699,-1.0,701,116,149
May-Oct,direct_paper_safe,ElasticNet,R2,0.47823159686894945,-1.0,701,116,149
May-Oct,residual_paper_safe,ElasticNet,MAE,0.6159136853829207,1.2000000000000002,701,116,149
May-Oct,residual_paper_safe,ElasticNet,RMSE,0.9797754935988643,1.2000000000000002,701,116,149
May-Oct,residual_paper_safe,ElasticNet,R2,0.40085977832883957,1.2000000000000002,701,116,149
May-Oct,direct_paper_safe,LightGBM,MAE,0.5820317220980984,-1.0,701,116,149
May-Oct,direct_paper_safe,LightGBM,RMSE,0.8969204965764799,-1.0,701,116,149
May-Oct,direct_paper_safe,LightGBM,R2,0.4979080851449885,-1.0,701,116,149
May-Oct,residual_paper_safe,LightGBM,MAE,0.6256156039807033,0.75,701,116,149
May-Oct,residual_paper_safe,LightGBM,RMSE,0.9943931450471085,0.75,701,116,149
May-Oct,residual_paper_safe,LightGBM,R2,0.3828488050785174,0.75,701,116,149
